id,clock,event,client,waitress,duration
1,2.5,Arriving,C001,,2.5
2,9.5,Filling,C001,W001,7
3,17.5,Drinking,C001,,8
4,22.5,Cleaning,,W002,5
5,23.5,Filling,C001,W001,6
6,25.0,Arriving,C002,,22.5
7,31.0,Filling,C002,W001,6
8,31.5,Drinking,C001,,8
9,35.5,Filling,C001,W001,4
10,36.5,Cleaning,,W002,5
11,39.0,Drinking,C002,,8
12,40.5,Drinking,C001,,5
13,44.0,Cleaning,,W002,5
14,45.0,Filling,C002,W001,6
15,50.0,Filling,C001,W002,6
16,50.0,Cleaning,,W001,5
17,50.0,Drinking,C002,,5
18,55.0,Filling,C002,W001,5
19,55.0,Cleaning,,W002,5
20,56.0,Drinking,C001,,6
21,60.0,Drinking,C002,,5
22,61.0,Cleaning,,W002,5
23,63.0,Filling,C001,W001,7
24,68.0,Filling,C002,W002,7
25,68.0,Cleaning,,W001,5
26,68.0,Drinking,C001,,5
27,73.0,Cleaning,,W001,5
28,75.0,Drinking,C002,,7
